,Player,Team,Wk,Run Att,Run Yd,Run TD,Target,Rec,Rec Yd,Rec TD,Opp,Points,Game played,Season
0,Adrian Peterson,MIN,1,21,75,0,3,2,18,0,STL,9.3,1,2014
1,Ahmad Bradshaw,IND,1,3,15,0,6,5,70,0,DEN,8.5,1,2014
2,Alfonso Smith,SF,1,0,0,0,0,0,0,0,DAL,0.0,0,2014
3,Alfred Blue,HOU,1,1,0,0,0,0,0,0,WAS,0.0,1,2014
4,Alfred Morris,WAS,1,14,91,0,0,0,0,0,HOU,9.1,1,2014
5,Andre Ellington,ARI,1,13,53,0,5,5,27,0,SD,8.0,1,2014
6,Andre Williams,NYG,1,5,9,0,1,0,0,0,DET,0.9,1,2014
7,Anthony Dixon,BUF,1,5,60,0,0,0,0,0,CHI,6.0,1,2014
8,Anthony Sherman,KC,1,1,4,0,0,0,0,0,TEN,0.4,1,2014
9,Antone Smith,ATL,1,2,7,0,1,1,54,1,NO,12.1,1,2014
10,Antonio Andrews,TEN,1,0,0,0,0,0,0,0,KC,0.0,0,2014
11,Arian Foster,HOU,1,27,103,0,2,2,17,0,WAS,12.0,1,2014
12,Austin Johnson,NO,1,0,0,0,0,0,0,0,ATL,0.0,0,2014
13,Ben Tate,CLE,1,6,41,0,0,0,0,0,PIT,4.1,1,2014
14,Benny Cunningham,STL,1,5,21,0,4,4,30,0,MIN,5.1,1,2014
15,Bernard Pierce,BAL,1,6,14,0,0,0,0,0,CIN,1.4,1,2014
16,Bilal Powell,NYJ,1,1,4,0,0,0,0,0,OAK,0.4,1,2014
17,Bishop Sankey,TEN,1,6,25,0,0,0,0,0,KC,2.5,1,2014
18,Bobby Rainey,TB,1,4,12,0,2,2,8,1,CAR,8.0,1,2014
19,Branden Oliver,SD,1,0,0,0,0,0,0,0,ARI,0.0,0,2014
20,Brandon Bolden,NE,1,2,8,0,3,1,4,0,MIA,1.2,1,2014
21,Brian Leonard,NO,1,0,0,0,0,0,0,0,ATL,0.0,0,2014
22,Bruce Miller,SF,1,0,0,0,1,0,0,0,DAL,0.0,1,2014
23,Bryce Brown,BUF,1,0,0,0,0,0,0,0,CHI,0.0,0,2014
24,C.J. Anderson,DEN,1,4,27,0,0,0,0,0,IND,2.7,1,2014
25,C.J. Spiller,BUF,1,15,53,0,3,3,11,1,CHI,12.4,1,2014
26,Carlos Hyde,SF,1,7,50,1,0,0,0,0,DAL,11.0,1,2014
27,Cedric Peerman,CIN,1,0,0,0,0,0,0,0,BAL,0.0,0,2014
